Sample_ID	group label	Master ID	Skeletal code	Skeletal element	"Published(0=no,1=yes.including.data.release.of.bioRxiv.version)"	"Year data from this individual was first published [for a present-day individuals we give the data of the data reported here; missing: GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]"	Publication	Representative contact	"Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r:5; Atmospheric data from Reimer et al (2020)"	"Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]"	"Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform distribution between the two bounds for a contextual date]"	"Full Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE"	Age at Death Estimate	Group ID	Locality	Country	Lat.	Long.	Restrictions (0=none; 1=Basic signed letter; 2=Restrictive signed letter; 3=Bolnick signed letter; 4=Never release; 5=Disease patient; 6=Basic signed letter but drafts should be circulated to Papua New Guinea Medical Research Advisory Group in advance of publication)	Pulldown Strategy	Data source	No. Libraries	Coverage on autosomal targets (Computed at (re)pulldown pre-padding)	1240k coverage (taken from original pulldown where possible)	SNPs hit on autosomal targets (Computed at pulldown for non-padded samples)	SNPs hit on autosomal targets (Computed using easystats on 1240k snpset)	Mean length of shotgun sequences (merged data)	Sex	Family ID and position within family	Sum total of ROH segments >4cM	Sum total of ROH segments >20cM	Y haplogroup automatic caller	Y haplogroup in terminal mutation notation (automatically called)	Y haplogroup  in ISOGG v15.73 notation (automatically called)	Y chromosome reference for manual call	Y haplogroup (manual curation in terminal mutation format)	Y haplogroup (manual curation in ISOGG format)	mtDNA coverage (merged data)	mtDNA haplogroup if ≥2 or published	mtDNA match to consensus if ≥2 coverage (merged data)	Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data)	Sex ratio [Y/(Y+X) counts] (merged data)	Xcontam ANGSD SNPs (only if male)	Xcontam ANGSD MOM point estimate (only if male and ≥200)	Xcontam ANGSD MOM Z-score (only if male and ≥200)	Xcontam ANGSD MOM 95% CI truncated at 0 (only if male and ≥200)	contamLD est	contamLD s.e.	contamLD warning	contamLD s.e.	"Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)"	LibraryID(s)	endogenous by library (computed on shotgun data)	1240k coverage (by library)	Damage rate in first nucleotide on sequences overlapping 1240k targets (by library)	mtDNA coverage (by library)	mtDNA haplogroup if ≥2 coverage (by library)	mtDNA match to consensus if ≥2 coverage (by library)	Individual Notes	batch notes (e.g. if a control well looks contaminated)	ASSESSMENT	"ASSESSMENT REASONING (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0.98: 0.9-0.95 is ""QUESTIONABLE""; <0.9 is ""QUESTIONABLE_CRITICAL"", questionable status gets overriden by ANGSD with PASS if upper bound of contamination is <0.01 and QUESTIONABLE if upper bound is 0.01-0.05) (damage for ds.half is ""QUESTIONABLE_CRITICAL/FAIL"" if <0.01, and recorded but passed if 0.01-0.03; libraries with untreated last base are ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if <0.01, ""QUESTIONABLE"" if 0.01-0.03, and recorded but passed if 0.03-0.1) (sexratio is QUESTIONABLE if [0.03,0.10] or [0.30,0.35); QUESTIONABLE_CRITICAL/FAIL if (0.10,0.30))"
I13893	EN	I13893	P1108; 5037-1	petrous	1	2021	FowlerOlaldeNature2021	"Pinhasi, Ron"	Direct: IntCal20	5517	62	"3653-3380 calBCE (4800±50 BP, GrA-24504)"	..	England_N_Megalithic	"England, Gloucestershire, Cheltenham, Hazleton North"	United Kingdom	51.861211	-1.883011	0	Repulldown on 3.2M snpset	1240K	2	2.634134	4.641	1521303	865674	58.3	M	n/a (no relatives detected)	20.887514	0	Lazaridis caller (2/7/2021) based on Yfull 8.09 running directly on the bam	I-Y3709	I2a1b1a1a1	Patterson2021inPreparation with ISOGG version v15.73 (automated calling followed by manual checking)	I-Y3709	I2a1b1a1a1	540.239242	K1a4	"[0.98,0.996]"	0.1	0.398456094	7665	0.00392	4.666666667	"[0.0022736, 0.0055664]"	-0.01	0.005	None	"[0,0]"	"ds.half,ss.half"	"S13893.Y1.E2.L1,S20820.Y1.E1.L1"	"..,0.03390"	"3.526,1.145"	"0.108,0.107"	"444.700,95.480"	"K1a4,K1a4"	"[0.978,0.994],[0.967,0.987]"	..	..	PASS	..
I1392	EN	I1392	13-Grave 9	tooth	1	2018	OlaldeNature2018	"Lemercier, Olivier"	Direct: IntCal20	4516	70	"2835-2472 calBCE (4047±29 BP, MAMS-25935)"	"adult, 30-50"	France_BellBeaker_NoSteppe	"Haut-Rhin, Hégenheim Necropole"	France	47.56	7.52	0	1240K pulldown padded to 3.2M snpset	1240K	3	0.975419	0.975419	..	632246	..	F	n/a (no relatives detected)	10.681003	0	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	241.311184	H1+152	"[0.991,1]"	..	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.002	0.014	None	"[0,0.025]"	"ds.half,ds.half,ds.half"	"S1392.E1.L1,S1392.E1.L4,S1392.E1.L5"	"0.01480,0.01130,0.01210"	"0.311,0.130,0.270"	"0.108,0.113,0.1"	"217.00,184.00,244.00"	"H1+152,H1+152,H1+152"	"[0.995,1.000],[0.998,1.000],[0.997,1.000]"	..	..	PASS	..
I14190	EN	I14190	"70A, P7A-16070 (P1181)"	petrous	1	2021	PattersonNature2021	"Pinhasi, Ron"	Context: Date(s) on 2d/3d relative I7197	6450	58	4600-4400 BCE	..	Czech_MN	"Central Bohemia, Prague 5, Prague-Jinonice (Holmanʼs Garden Centre)"	Czech Republic	50.054385	14.363387	0	Repulldown on 3.2M snpset	1240K	1	2.00482	3.466446	1405838	812343	55.2	M	"Czech Republic, Prague 5, Jinonice Family D (2 members) (I7197-I14190 have a 2d or 3d relationship)"	0	0	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	I-S21825	I2a1a1b	..	..	..	482.8	T2e	"[0.990,0.999]"	0.101	0.406	7974	0.00328	4.493	"[0.002,0.005]"	-0.006	0.007	None	"[0,0.008]"	ds.half	S14190.Y1.E1.L1	0.41019	3.466446	0.101	482.8	T2e	"[0.990,0.999]"	..	..	PASS	..
I14326	EN	I14326	ECP09 SK4040 (23)	petrous	1	2021	PattersonNature2021	"Speed, Greg"	Direct: IntCal20	4908	44	"3074-2892 calBCE (4336±32 BP, SUERC-52011)"	..	England_N	"England, East Riding of Yorkshire, Thornholme, East Coast Pipeline (field 13)"	United Kingdom	54.11173333	-0.284113889	0	Repulldown on 3.2M snpset	1240K	1	2.110031	3.673364	1340437	796806	54.7	F	n/a (no relatives detected)	5.707908	0	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	445.3	H1c	"[0.988,0.999]"	0.125	0.008	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.009	0.003	None	"[0,0]"	ds.half	S14326.Y1.E1.L1	0.26176	3.673364	0.125	445.3	H1c	"[0.988,0.999]"	..	..	PASS	..
I14675	EN	I14675	1267	petrous	1	2020	FernandesNatureEcologyEvolution2020	"Pinhasi, Ron"	Direct: IntCal20	4021	49	"2191-1973 calBCE (3680±25 BP, PSUAMS-6689)"	..	Italy_Sardinia_C_MonteClaro	"Sardinia, Serra Cabriles"	Italy	40.789722	8.591389	0	Repulldown on 3.2M snpset	1240K	1	1.920619	3.329392	1352263	782011	52	M	n/a (no relatives detected)	5.7524	0	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	I-PF692	I2a1b1b	..	..	..	262.1	J2b1a	"[0.992,0.999]"	0.117	0.403	5177	0.00341	3.41	"[0.001,0.005]"	-0.008	0.006	None	"[0,0.004]"	ds.half	S14675.Y1.E1.L1	0.55831	3.329392	0.117	262.1	J2b1a	"[0.992,0.999]"	..	..	PASS	..
I14676_published	EN	I14676	1268	petrous	1	2020	FernandesNatureEcologyEvolution2020	"Pinhasi, Ron"	Direct: IntCal20	4053	51	"2200-2030 calBCE (3715±25 BP, PSUAMS-6690)"	..	Italy_Sardinia_C_MonteClaro	"Sardinia, Serra Cabriles"	Italy	40.789722	8.591389	0	Repulldown on 3.2M snpset	1240K	2	1.910379	3.312	1374628	801196	64.1	M	n/a (no relatives detected)	0	0	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	I-PF692	I2a1b1b	..	..	..	284.854789	J1c3	"[0.99,0.999]"	0.147	0.404869789	5586	0.00644	5.366666667	"[0.004088, 0.008792]"	-0.01	0.006	None	"[0,0.002]"	"ds.half,ss.half"	"S14676.Y1.E1.L1,S18990.Y1.E1.L1"	"0.26982,0.01201"	"3.309,0.006"	"0.129,0.169"	"283.900,0.960"	"J1c3,n/a(<2x)"	"[0.985,0.997],n/a(<2x)"	..	..	PASS	..
I14677	EN	I14677	1269	petrous	1	2020	FernandesNatureEcologyEvolution2020	"Pinhasi, Ron"	Direct: IntCal20	4329	53	"2464-2294 calBCE (3890±25 BP, PSUAMS-6691)"	..	Italy_Sardinia_C_MonteClaro	"Sardinia, Serra Cabriles"	Italy	40.789722	8.591389	0	Repulldown on 3.2M snpset	1240K	1	1.842991	3.204441	1336092	779464	52	M	n/a (no relatives detected)	0	0	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	G-PF3239	G2a2a1a2a1	..	..	..	205.5	K1a1b1	"[0.990,1.000]"	0.131	0.408	5191	0.00376	3.916666667	"[0.002,0.006]"	0.003	0.005	None	"[0,0.013]"	ds.half	S14677.Y1.E1.L1	0.47199	3.204441	0.131	205.5	K1a1b1	"[0.990,1.000]"	..	..	PASS	..
I14678	EN	I14678	1270	petrous	1	2020	FernandesNatureEcologyEvolution2020	"Pinhasi, Ron"	Direct: IntCal20	4247	66	"2454-2201 calBCE (3840±25 BP, PSUAMS-6692)"	..	Italy_Sardinia_C_MonteClaro	"Sardinia, Serra Cabriles"	Italy	40.789722	8.591389	0	Repulldown on 3.2M snpset	1240K	1	2.23733	3.86698	1393674	800549	52.6	M	n/a (no relatives detected)	0	0	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	G-PF3239	G2a2a1a2a1	..	..	..	296.9	V+@72	"[0.965,0.992]"	0.12	0.405	5865	0.00423	4.648351648	"[0.002,0.006]"	-0.009	0.005	None	"[0,0.001]"	ds.half	S14678.Y1.E1.L1	0.60301	3.86698	0.12	296.9	V+@72	"[0.965,0.992]"	..	..	PASS	..
I1495	EN	I1495	"HUNG347, NE7"	petrous	1	2014	MathiesonNature2015 (capture of same sample shotgunned in Gamba2014)	"Pinhasi, Ron"	Direct: IntCal20	6367	39	"4496-4353 calBCE (5598±32 BP, MAMS-14819)"	..	Hungary_LN_Lengyel	Apc-Berekalya I	Hungary	47.167	19.833	0	1240K pulldown padded to 3.2M snpset	1240K	1	4.853	4.853	..	812237	..	M	n/a (no relatives detected)	109.056387	55.885507	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	I-S21825	I2a1a1b	..	..	..	552	N1a1a+152	"[0.995,0.999]"	0.094	0.424	5332	0.004819	4.975207074	"[0.003,0.007]"	-0.009	0.004	None	"[0,0]"	ds.half	S1495.E1.L1	0.5351	4.853	0.094	552	N1a1a+152	"[0.995,0.999]"	..	..	PASS	..
I1497	EN	I1497	"HUNG353, CO1"	petrous	1	2014	MathiesonNature2015 (capture of same sample shotgunned in Gamba2014)	"Pinhasi, Ron"	Direct: IntCal20	5019	100	"3320-2922 calBCE (4421±27 BP, MAMS-14825)"	..	Hungary_LateC_Baden	Apc-Berekalya I	Hungary	47.167	19.833	0	1240K pulldown padded to 3.2M snpset	1240K	1	4.563	4.563	..	813420	..	F	n/a (no relatives detected)	0	0	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	445	H	"[0.983,0.994]"	0.112	0.012	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.005	0.005	None	"[0,0.015]"	ds.half	S1497.E1.L1	0.2874	4.563	0.112	445	H	"[0.983,0.994]"	..	..	PASS	..
I15029	EN	I15029	Skeleton RL 90.30.1.2 ;P2430	petrous	1	2021	PattersonNature2021	"Pinhasi, Ron"	Context: Archaeological - Period	5700	115	3950-3550 BCE	..	France_N	"Morbihan, Quiberon, Port Blanc"	France	47.523479	-3.154599	0	Repulldown on 3.2M snpset	1240K	1	2.37361	4.067952	1442668	805454	..	M	n/a (no relatives detected)	0	0	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	I-Y21997	I2a1a1a1a2b~	..	..	..	321.3	V	"[0.974,0.996]"	0.103	0.415	5979	0.00299	3.36	"[0.001,0.005]"	-0.011	0.005	None	"[0,0]"	ds.half	S15029.Y1.E1.L1	..	4.067952	0.103	321.3	V	"[0.974,0.996]"	..	..	PASS	..
I15030	EN	I15030	Skeleton RL 90.30.1.3; P2431	petrous	1	2021	PattersonNature2021	"Pinhasi, Ron"	Context: Archaeological - Period	5700	115	3950-3550 BCE	..	France_N	"Morbihan, Quiberon, Port Blanc"	France	47.523479	-3.154599	0	Repulldown on 3.2M snpset	1240K	1	1.317643	2.276808	1253663	742851	..	M	n/a (no relatives detected)	4.035902	0	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	I-L160	I2a1a1a1a1	..	..	..	203.2	U5b1+16189+@16192	"[0.968,0.989]"	0.15	0.401	4141	0.0029	2.636	"[0.001,0.005]"	-0.006	0.005	None	"[0,0.004]"	ds.half	S15030.Y1.E1.L1	..	2.276808	0.15	203.2	U5b1+16189+@16192	"[0.968,0.989]"	..	..	PASS	..
I15031	EN	I15031	Skeleton RL 90.30.1.4; P2432	petrous	1	2021	PattersonNature2021	"Pinhasi, Ron"	Context: Archaeological - Period	5700	115	3950-3550 BCE	..	France_N	"Morbihan, Quiberon, Port Blanc"	France	47.523479	-3.154599	0	Repulldown on 3.2M snpset	1240K	1	2.464263	4.25282	1410821	808700	..	F	n/a (no relatives detected)	0	0	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	395.1	T2b3d	"[0.986,0.998]"	0.105	0.008	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.002	0.004	None	"[0,0.006]"	ds.half	S15031.Y1.E1.L1	..	4.25282	0.105	395.1	T2b3d	"[0.986,0.998]"	..	..	PASS	..
I15032	EN	I15032	Skeleton RL 90.30.1.5; P2433	petrous	1	2021	PattersonNature2021	"Pinhasi, Ron"	Context: Archaeological - Period	5700	115	3950-3550 BCE	..	France_N	"Morbihan, Quiberon, Port Blanc"	France	47.523479	-3.154599	0	Repulldown on 3.2M snpset	1240K	1	2.16672	3.747265	1421351	806182	..	M	n/a (no relatives detected)	16.679402	0	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	I-L161	I2a1a2	..	..	..	346.6	H3	"[0.976,0.998]"	0.146	0.412	5720	0.0054	4.909	"[0.003,0.008]"	0.003	0.005	None	"[0,0.013]"	ds.half	S15032.Y1.E1.L1	..	3.747265	0.146	346.6	H3	"[0.976,0.998]"	..	..	PASS	..
I1553	EN	I1553	"10388A, 4304"	tooth	1	2018	OlaldeNature2018	"Haak, Wolfgang"	Context: Archaeological - Period	4500	173	2850-2250 BCE	..	Spain_C	"Barcelona, Cerdanyola, Paris Street"	Spain	41.49194444	2.138888889	0	Repulldown on 3.2M snpset	1240K	1	0.019544	0.033	56958	37184	..	F	n/a (no relatives detected)	n/a (too few SNPs)	n/a (too few SNPs)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	10.616815	H+152	"[0.961,0.998]"	0.156	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.035	0.062	Model_Misspecified	"[0,0.157]"	ds.half	S1553.L1	0.0092	0.033	0.156	10.4	pre-H103	"[0.957,0.991]"	..	..	PASS	..
I15648	EN	I15648	"15/58, P7A-32256, S XIV J403 (P1766)"	petrous	1	2021	PattersonNature2021	"Pinhasi, Ron"	Direct: IntCal20	5397	53	"3598-3371 calBCE (4690±25 BP, PSUAMS-10098)"	..	Czech_N	"N Bohemia, Mladá Boleslav, Mužský-Hrada (Hrada site, Dneboh cadastre)"	Czech Republic	49.991622	14.162575	0	Repulldown on 3.2M snpset	1240K	1	0.520641	0.890957	903522	555242	45.6	M	n/a (no relatives detected)	8.911901	0	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	R-V2219	R1b	..	..	..	207.6	K1a+195	"[0.695,0.886]"	0.112	0.388	1420	0.00138	0.812	"[0,0.005]"	-0.007	0.01	None	"[0,0.013]"	ss.half	S15648.Y1.E1.L1	0.62873	0.890957	0.112	207.6	K1a+195	"[0.695,0.886]"	..	..	PASS	"mtcontam=[0.695,0.886], Xcontam=[0,0.005]"
I15818	EN	I15818	"145-150/44, P7A-7557, 155 (P1646)"	petrous	1	2021	PattersonNature2021	"Pinhasi, Ron"	Context: Archaeological - Period	7200	144	5500-5000 BCE	..	Czech_EN_LBK	"NW Bohemia, Teplice, Bžany"	Czech Republic	50.590618	13.876321	0	Repulldown on 3.2M snpset	1240K	1	1.470413	2.651959	1220579	742859	49.3	F	n/a (no relatives detected)	0	0	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	247.9	HV0a	"[0.960,0.992]"	0.105	0.01	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.009	0.005	None	"[0,0.001]"	ss.half	S15818.Y1.E1.L1	0.73319	2.651959	0.105	247.9	HV0a	"[0.960,0.992]"	..	..	PASS	..
I15819	EN	I15819	"40, P7A-42049 (P1647)"	petrous	1	2021	PattersonNature2021	"Pinhasi, Ron"	Context: Archaeological - Period	7200	144	5500-5000 BCE	..	Czech_N	"N Moravia, Prostějov, Kralice na Hané"	Czech Republic	49.466353	17.185354	0	Repulldown on 3.2M snpset	1240K	1	0.158114	0.274285	413457	267017	47.3	F	n/a (no relatives detected)	n/a (too few SNPs)	n/a (too few SNPs)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	36.32	K1a3a3	"[0.957,0.983]"	0.101	0.011	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.04	0.019	None	"[0.003,0.077]"	ss.half	S15819.Y1.E1.L1	0.06322	0.274285	0.101	36.32	K1a3a3	"[0.957,0.983]"	..	..	PASS	..
I15823	EN	I15823	"66, P7A-16044, s. 609; acq. no. P7p-4/95 (P1651)"	petrous	1	2021	PattersonNature2021	"Pinhasi, Ron"	Context: Archaeological - Period	5550	115	3800-3400 BCE	..	Czech_C	"Central Bohemia, Prague 5, Prague-Jinonice (Holmanʼs Garden Centre)"	Czech Republic	50.054385	14.363387	0	Repulldown on 3.2M snpset	1240K	1	0.580208	1.020987	929207	586879	44.5	M	n/a (no relatives detected)	0	0	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	J-PF5252	J2a1a1b1a1a	..	..	..	105.4	K1a4a1	"[0.970,0.989]"	0.14	0.403	1716	0.00648	2.4	"[0.001,0.012]"	0.004	0.007	None	"[0,0.018]"	ss.half	S15823.Y1.E1.L1	0.36355	1.020987	0.14	105.4	K1a4a1	"[0.970,0.989]"	..	..	PASS	..
I15826	EN	I15826	"92, P7A-16049, s. 789 (P1654)"	petrous	1	2021	PattersonNature2021	"Pinhasi, Ron"	Direct: IntCal20	5505	65	"3634-3382 calBCE (4750±25 BP, PSUAMS-8271)"	..	Czech_C	"Central Bohemia, Prague 5, Prague-Jinonice (Holmanʼs Garden Centre)"	Czech Republic	50.054385	14.363387	0	Repulldown on 3.2M snpset	1240K	1	0.130346	0.225559	341192	222723	38.5	M	n/a (no relatives detected)	n/a (too few SNPs)	n/a (too few SNPs)	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	R-L754	R1b	..	..	..	41.24	T2b	"[0.969,0.990]"	0.208	0.388	132	n/a (<200 SNPs)	n/a (<200 SNPs)	n/a (<200 SNPs)	-0.028	0.018	Model_Misspecified	"[0,0.007]"	ss.half	S15826.Y1.E1.L1	0.09296	0.225559	0.208	41.24	T2b	"[0.969,0.990]"	..	..	PASS	..
I15941	EN	I15941	"2480, Grave XXXVII"	petrous	1	2020	FernandesNatureEcologyEvolution2020	"Pinhasi, Ron"	Direct: IntCal20	4196	51	"2343-2144 calBCE (3810±25 BP, PSUAMS-6693)"	..	Italy_Sardinia_C	"Sardinia, Anghelu Ruju"	Italy	40.626667	8.323056	0	Repulldown on 3.2M snpset	1240K	1	1.38946	2.411147	1205651	711666	49.9	M	n/a (no relatives detected)	0	0	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	H-Y19962	H2c1a~	..	..	..	222.5	H1k	"[0.939,0.972]"	0.117	0.454	4048	0.00704	4.4	"[0.004,0.01]"	-0.005	0.006	None	"[0,0.007]"	ss.half	S15941.Y1.E1.L1	0.69672	2.411147	0.117	222.5	H1k	"[0.939,0.972]"	..	..	PASS	"mtcontam=[0.939,0.972]"
I15942	EN	I15942	"2481, Grave XXXVII"	petrous	1	2020	FernandesNatureEcologyEvolution2020	"Pinhasi, Ron"	Direct: IntCal20	4297	64	"2459-2209 calBCE (3865±25 BP, PSUAMS-6694)"	..	Italy_Sardinia_C	"Sardinia, Anghelu Ruju"	Italy	40.626667	8.323056	0	Repulldown on 3.2M snpset	1240K	1	0.560135	0.956633	916630	563277	47.5	M	n/a (no relatives detected)	21.723602	0	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	G-Z6484	G2a2a1a2	..	..	..	89.01	H4a1a	"[0.969,0.990]"	0.124	0.427	1520	0.0154	4.162	"[0.008,0.023]"	0.004	0.009	None	"[0,0.022]"	ss.half	S15942.Y1.E1.L1	0.20314	0.956633	0.124	89.01	H4a1a	"[0.969,0.990]"	..	..	PASS	"Xcontam=[0.008,0.023]"
I15943_published	EN	I15943	"2482, Grave F"	petrous; petrous	1	..	FernandesNatureEcologyEvolution2020	"Pinhasi, Ron; Pinhasi, Ron"	Direct: IntCal20	5723	67	"3936-3657 calBCE (4995±25 BP, PSUAMS-6932)"	..	Italy_Sardinia_N	"Sardinia, Anghelu Ruju"	Italy	40.626667	8.323056	0	Repulldown on 3.2M snpset	1240K	2	0.737569	1.241122	1054005	649193	..	F	n/a (no relatives detected)	13.686788	0	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	67.359648	U1a1a	..	0.203	0.014580491	n/a (female)	n/a (female)	n/a (female)	n/a (female)	..	..	..	..	"ds.half,ss.half"	"S22858.Y1.E2.L1,S15943.Y1.E1.L1"	"0.1,0.035"	"1.11,0.13"	"0.174,0.177"	"55.23,12.13"	"U1a1a,U1a1a"	"[0.966,0.987],[0.937,0.984]"	..	..	PASS	..
I15945	EN	I15945	"2484, Grave F"	petrous	1	2020	FernandesNatureEcologyEvolution2020	"Pinhasi, Ron"	Direct: IntCal20	5825	52	"3967-3798 calBCE (5095±30 BP, PSUAMS-6936)"	..	Italy_Sardinia_N	"Sardinia, Anghelu Ruju"	Italy	40.626667	8.323056	0	Repulldown on 3.2M snpset	1240K	1	0.101095	0.170733	270443	173132	41.5	F	n/a (no relatives detected)	n/a (too few SNPs)	n/a (too few SNPs)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	21.55	J2b1a	"[0.954,0.987]"	0.178	0.017	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.015	0.032	None	"[0,0.048]"	ss.half	S15945.Y1.E1.L1	0.04932	0.170733	0.178	21.55	J2b1a	"[0.954,0.987]"	..	..	PASS	..
I15946	EN	I15946	"2485, Grave F"	petrous	1	2020	FernandesNatureEcologyEvolution2020	"Pinhasi, Ron"	Direct: IntCal20	5968	46	"4158-3958 calBCE (5205±30 BP, PSUAMS-6699)"	..	Italy_Sardinia_N	"Sardinia, Anghelu Ruju"	Italy	40.626667	8.323056	0	Repulldown on 3.2M snpset	1240K	1	0.386664	0.65884	724861	455548	42.1	M	n/a (no relatives detected)	10.859204	0	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	I-Y7240	I2a1b1a1b2	..	..	..	93.21	T2c1d+152	"[0.984,0.997]"	0.172	0.424	775	0.0126	2.739	"[0.004,0.022]"	..	..	..	..	ss.half	S15946.Y1.E1.L1	0.14224	0.65884	0.172	93.21	T2c1d+152	"[0.984,0.997]"	..	..	PASS	..
I15947	EN	I15947	"2486, Grave F"	petrous	1	2020	FernandesNatureEcologyEvolution2020	"Pinhasi, Ron"	"Context: Date on other individual from same site and layer (I15946, I15945, I16168, I15943, I16183)"	5575	332	4200-3050 BCE	..	Italy_Sardinia_N_contam	"Sardinia, Anghelu Ruju"	Italy	40.626667	8.323056	0	Repulldown on 3.2M snpset	1240K	1	0.070708	0.118977	198738	126638	42.1	M	"Sardinia, Anghelu Ruju Family A (4 members) (1/2d: I15948-I22591 | 2d: I22591-I15947 | 2/3d: I15944-I15947)"	n/a (too few SNPs)	n/a (too few SNPs)	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	P-P226	P1~	..	..	..	13.32	R	"[0.276,0.458]"	0.158	0.426	33	n/a (<200 SNPs)	n/a (<200 SNPs)	n/a (<200 SNPs)	0.013	0.041	Very_High_Contamination	"[0,0.093]"	ss.half	S15947.Y1.E1.L1	0.01794	0.118977	0.158	13.32	R	"[0.276,0.458]"	..	..	QUESTIONABLE_CRITICAL	"mtcontam=[0.276,0.458]"
I16108	EN	I16108	"16, P7A-38762 (P2336)"	petrous	1	2021	PattersonNature2021	"Pinhasi, Ron"	Context: Archaeological - Period	5550	115	3800-3400 BCE	..	Czech_LN	"Central Bohemia, Prague 5, Prague-Stodůlky (Malá Ohrada site)"	Czech Republic	50.044984	14.339296	0	Repulldown on 3.2M snpset	1240K	1	0.163217	0.27708	395757	251348	44.1	F	n/a (no relatives detected)	n/a (too few SNPs)	n/a (too few SNPs)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	123.2	X2b4	"[0.963,0.984]"	0.124	0.011	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.025	0.028	Model_Misspecified	"[0,0.03]"	ss.half	S16108.Y1.E1.L1	0.1826	0.27708	0.124	123.2	X2b4	"[0.963,0.984]"	..	..	PASS	..
I16161	EN	I16161	"2461, Grave VI"	petrous	1	2020	FernandesNatureEcologyEvolution2020	"Pinhasi, Ron"	Direct: IntCal20	3434	28	"1534-1438 calBCE (3230±25 BP, PSUAMS-6681)"	..	Italy_Sardinia_MBA	"Sardinia, Anghelu Ruju"	Italy	40.626667	8.323056	0	Repulldown on 3.2M snpset	1240K	2	0.969228	1.687121	1131417	687036	..	F	n/a (no relatives detected)	4.0725	0	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	..	J1c3	..	..	0.012	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.013	0.006	None	"[0.001,0.025]"	"ss.half,ss.half"	"S16161.Y1.E1.L1,S16162.Y1.E1.L1"	"0.49095,0.59089"	"0.722,0.973"	..	"151.90,185.10"	"J1c3,J1c3"	"[0.989,1.000],[0.978,0.995]"	..	..	PASS	..
